users,text
CdnCheryl1969,RT @HKrassenstein: @JoeBiden Rudy Giuliani is fabricating emails to smear Joe Biden. https://t.co/wR4yQJkevq
KrisWStylist,RT @realTrumpForce: @JoeBiden Where the hell is Hunter and all that cash?
MeyersSteev,@JoeBiden https://t.co/4xOnDv2qD3
vcl6oud,@JoeBiden https://t.co/H2VP8nrN5O
Chinashortdixk,RT @pakitogomez_: @JoeBiden no ones votting you old man
basford_h,@JoeBiden Exodus 23:1 “You shall not bear a false report; do not join your hand with a wicked man to be a malicious… https://t.co/6ua7GVwYkY
FixingContext,"@JoeBiden Virginia 11:59 October PM deadline  registration Head been registered extended! to voter Thursday, online… https://t.co/PFJ5nmVodp"
BarbJohnson99,@JoeBiden You want Medicare for all.  At least have the guts to be honest about your position on health care and fracking.
SuperV8der,"@JoeBiden By the way, I don’t think you’ll be the best president, maybe not even a good president.  But you better… https://t.co/HYvojKMaEz"
BP06085501,"@JoeBiden Why, it sucks! Keep your Doctor yeah right!"
PastorJenDavis_,RT @HKrassenstein: @JoeBiden Rudy Giuliani is fabricating emails to smear Joe Biden. https://t.co/wR4yQJkevq
starbabe777,@JoeBiden T-20 to GITMO!
56steelrule,@JoeBiden https://t.co/ALYVQf2LQP
paulsphillips1,@JoeBiden Already voted for Trump
J_Irving_R,@JoeBiden this you? or is it Joe Hiden? lmaoooo https://t.co/apTxpqMB65
TigerMom1209,@JoeBiden And for the Chinese
DonaldMccalment,RT @murray_nyc: @JoeBiden Trump &amp; the GOP want to strip insurance from millions of Americans in the middle of a pandemic! What an absolute…
onceaga11498189,@JoeBiden https://t.co/K9wscJyK5H
elainemay60,@JoeBiden https://t.co/Q3hZkQWkPe
natemax,@JoeBiden Don't let those long lines deter you. Republicans are trying to disenfranchise us. Don't let them.  https://t.co/q9aeTU3kdH
Patents_R_Us,"@JoeBiden Joe, you said you never discussed Hunter Biden’s Ukraine dealings with him.  There is documentary evidenc… https://t.co/IihxCAecEF"
WilliamLabrada1,@JoeBiden Grande makina número 1 fiera tifon
LiberalPlano,@JoeBiden Can't wait to call you PRESIDENT Biden.
AaronLyleLeth,@JoeBiden Keep going!
DeirdreDaly19,@JoeBiden #BidenHarris2020 #WheresHunter @HunterBiden https://t.co/Lj1gtU20mQ
PodcastUnbowed,RT @mmpadellan: @JoeBiden Makes a whole lot more sense than tearing it down without having anything to replace it during a pandemic.  Thank…
InoKingca,@JoeBiden  can you explain this ? 🧐 https://t.co/hl8e7M6Gdq
OnNov3rd,@JoeBiden #BidenHarris  America is Ready for #TrueLeadership  #VoteBlue2020  Can’t Wait.... #NoMoreTrumpLies
GJJamer,@JoeBiden UR part of this joey....... https://t.co/JNAOA3yqIp
RealKendrickG32,@JoeBiden https://t.co/bb5yLKHHqd
DrRobynGoldste1,"@JoeBiden please pass along what I wrote- very, very important to your argument. A reprieve of remote silence."
drakeu85,@JoeBiden https://t.co/t7kjCdXzki
Garden219,RT @RepsForBiden: @JoeBiden Couldn’t be more proud to support the #BidenHarris2020 ticket!  https://t.co/i0A1eNRtFN
Tazinjcksn44,"@JoeBiden Likely? You going with ""likely"" here"
oldmodcon,"RT @magninano: @JoeBiden Reading the emails now - Biden knew everything.  Oh, and Hunter Biden smokes crack: https://t.co/5EZQwocfBD"
JoeBidenForLife,@JoeBiden patriots there’s one simple way to #BoycottNBC @NBCPolitics @NBCNews   It’s very easy and simple that’s t… https://t.co/RhR1do9CzG
SkinClarity,RT @HKrassenstein: @JoeBiden Rudy Giuliani is fabricating emails to smear Joe Biden. https://t.co/wR4yQJkevq
VhManny,@JoeBiden Count me in.
Woodywood144,@JoeBiden https://t.co/6HnuGDaBT8
2020Fafo,"@JoeBiden Hey Joe, what's going on with Hunter?  When are you going to be truthful with the American people??  Or,… https://t.co/EZZiGq6Mnd"
PTSDoffDaChains,RT @HKrassenstein: @JoeBiden Rudy Giuliani is fabricating emails to smear Joe Biden. https://t.co/wR4yQJkevq
johnTrump202045,@JoeBiden remember this Joe? Your 2020 voters will not forget https://t.co/J8xi2mZ3yg
trumpnations,@JoeBiden Why’d you lie Joe! I was gonna vote for you but you lost my vote. 😂😂
milo1691,@JoeBiden hiding again????  VOTING RED ALL THE WAY. ❌❌YOU’RE CORRUPT AND NOT DESERVING OF THE PRESIDENCY.  WHATEVER… https://t.co/NNIQYZXkur
HeatherThode1,@JoeBiden Your a old damn fool
ThaGreatGoombie,@JoeBiden Old man get some rest
mickey60_,@JoeBiden @realDonaldTrump  really? https://t.co/rmUqJkETfU
Rumrunner9652,@JoeBiden Right back atcha’ Joe. 👊👍☮️
IronicBlondie,@JoeBiden New trump supporter in VA. Don't worry. It was the FIRST thing I did.
PatrickArnold77,"@JoeBiden Hey, do us a favor and put a lid on it, I hear your good at that"
fugitivesis,@JoeBiden Where is Hunter?
garysellsAudis,"@JoeBiden WoW, 9 cars and 17 people.  Now that’s exciting"
Angie46554041,"RT @AdamInHTownTX: @JoeBiden No, three weeks from today, we're going to reelect Donald Trump as President."
EyePatchNixon,"@JoeBiden Mar-a-Lago Suspiciously Just Ordered Enough Kool-Aid Mix For 3,000 People To Be Delivered On November 2nd https://t.co/m2kkZ4N9WA"
ivylarsen,"@JoeBiden You have promised to get rid of employer-based coverage — so yes, I will be voting like my health care ca… https://t.co/bkvf1Vjyfz"
iNur38563132,@JoeBiden https://t.co/YBmG0nwclK
BoOkWoRm_jen,RT @HKrassenstein: @JoeBiden Rudy Giuliani is fabricating emails to smear Joe Biden. https://t.co/wR4yQJkevq
JakeBrannan5499,@JoeBiden thanks for the reminder https://t.co/oJH2QIT3Wf
LebelShelley,@JoeBiden https://t.co/0fSpdSEjeM
skybob321,@JoeBiden Done https://t.co/LbkoDsol5x
PeterLeoMartin,@JoeBiden Obamacare is a trash way to hold Americans hostage to a corporate model that provides the bare minimum of… https://t.co/TRCI70yeVh
Patriotone1fan,@JoeBiden Thanks I'm set to vote for Trump and to make sure friends and family get to the polls.  Good luck everyone.
HeatherThode1,@JoeBiden Wow 40 people at best ! What a Loser
Pinkerton45,"@JoeBiden Joel, President Trump is a succesful businessman who's a self made billionaire. You've never even publish… https://t.co/0myAppLlq0"
Mambatron8124,@JoeBiden you gonna arrest your punk ass son for having crack in his possession like you and @KamalaHarris have bei… https://t.co/cIU3Wuid6v
JDepermentier,"@JoeBiden Well damn, Trump has been doing just the same the past four years so it looks like Joe is plagiarizing again!"
kingzimmerman,@JoeBiden Not exactly a riot
SilkNSheaButta,@JoeBiden 🙏🏽🙌🏾
angelino_26,RT @HKrassenstein: @JoeBiden Rudy Giuliani is fabricating emails to smear Joe Biden. https://t.co/wR4yQJkevq
AmoneyResists,"@JoeBiden Thank you! Give me a President who wants more people to vote, not less. And who doesn’t conspire against… https://t.co/ASPDNRQt80"
Sltodes63,RT @HKrassenstein: @JoeBiden Rudy Giuliani is fabricating emails to smear Joe Biden. https://t.co/wR4yQJkevq
Vegassoccerguy,@JoeBiden If your that f’ing lazy and hadn’t done it before how you shouldn’t be able to vote. IJS
Angie46554041,RT @Rmir72: @JoeBiden https://t.co/dd9q3awa8i
GoBluM1,RT @HKrassenstein: @JoeBiden Rudy Giuliani is fabricating emails to smear Joe Biden. https://t.co/wR4yQJkevq
admiralcase2,@JoeBiden Can we impeach a Presidential candidate? Would be interesting to know!
hempymama,@JoeBiden Until you lose! https://t.co/I5XrcXkJNn
JQ17L,@JoeBiden Tick Tock mothaf&amp;*&amp;$
FormerNewspaper,"@JoeBiden Where’s Hunter, Fat?"
lelamoreira_ofi,@JoeBiden All Brazil is with you... #Biden
falcao924,@JoeBiden 😮😮 https://t.co/F2FH0nI6CU
pinballtoddy,@JoeBiden How is hunter?
JoeyB76064691,@JoeBiden https://t.co/0nQHMb3hxV
VirginiaLoughn1,"@JoeBiden @LancePyburn ""Stray from the truth"" is a very classy way of describing Trump's penchant for lying shamelessly."
8itchISeeYou,@JoeBiden 😂😂😂😂😂😂😂😂😂😂
renwoxing9910,@JoeBiden Fairwell in a few days！
LebelShelley,@JoeBiden https://t.co/HyTaO1EUDl
Angie46554041,RT @JINNYGLOW: @JoeBiden hopefully a long time prisoner after that https://t.co/62sZ3MzGQw
Trust123456not,@JoeBiden 😂You don’t even know where you are most of the time.
rjgrammy14,@JoeBiden @KamalaHarris https://t.co/bTw7v4TXEV
LeesaBrown,@JoeBiden up in #Ohio  https://t.co/q91Vf6R9ka
AnthonyLeeVoice,@JoeBiden What we must do:  #VoteASAPandBypassUSPS  1. Vote as soon as possible after early voting opens.  2. Bypas… https://t.co/gOZrTlKB8c
KarrieWojciech1,@JoeBiden Place my in person vote for you and @KamalaHarris today.
njtwin1,@JoeBiden https://t.co/oDkgRQpn5O
lenguedry,@JoeBiden Want to build? Hell borrow the money from hunter. Loser
iwonbig,@JoeBiden The person writing Biden's tweets doesn't even recognize pedo Joe isn't even there for himself. sad his w… https://t.co/Murzw4AW6d
Hurleyfrank1,@JoeBiden I voted Biden so did all my family sick of trumps lies and nonsense
Anonymo47030616,@JoeBiden Can I keep my doctor? The people deserve to know?
LoriLambermont,@JoeBiden I did vote! 💙🇺🇸💙🇺🇸💙
HUEYGUNNER1950,@JoeBiden https://t.co/0xAqK9CYXk
ThomasDonna,@JoeBiden https://t.co/qsZkzssEgS
Garysotherson,"@JoeBiden Where's Hunter, fat?  #WheresHunter #BidenIsALiar #BidenIsCorrupt #BurismaBribedBiden"
manolo_burumba,@JoeBiden https://t.co/HavK5ZjPZH
TRIONFI1,@JoeBiden That’s a ridiculous statement!
CorineHannaford,"@JoeBiden If they destroy it, work with the Democratic congress and pass new legislation.  If SCOTUS shuts it down,… https://t.co/Jg7sUUNKcm"
KevRolfe,"@JoeBiden Joe, you have no shame. You're a snake."
Wendy77928019,@JoeBiden You should be a no brainer vote for me but Harris as your running mate has me struggling. She is to far l… https://t.co/UzUq6fvRYr
LebelShelley,@JoeBiden https://t.co/wEFkpkMR0a
hybridlimo1,"RT @RafiKhan636: @JoeBiden 215,000 Americans have died from COVID-19 on Donald Trump’s watch.   It’s the greatest failure of presidential l…"
